CustomerID,recency,frequency,monetary,R,F,M,rfm,rfm_segment_name
11000,239.0,6,4598.4096,3,3,4,334,Potential loyal
11001,19.0,10,2821.2122,5,4,3,543,Star
11002,308.0,3,4466.812400000001,2,2,4,224,Hold and improve
11003,232.0,8,4532.9866,3,4,4,344,Potential loyal
11004,241.0,5,4568.0838,3,3,4,334,Potential loyal
11005,240.0,5,4502.7596,3,3,4,334,Potential loyal
11007,284.0,7,4590.7424,2,4,4,244,Hold and improve
11008,301.0,6,4502.698200000001,2,3,4,234,Hold and improve
11009,233.0,4,4471.392400000001,3,3,4,334,Potential loyal
11010,219.0,3,4459.1008,3,2,4,324,Potential loyal
11011,284.0,3,4487.1582,2,2,4,224,Hold and improve
11012,75.0,5,91.1842,4,3,1,431,Loyal
11013,259.0,2,41.6242,2,2,1,221,Hold and improve
11014,242.0,6,190.8927,3,3,1,331,Potential loyal
11015,344.0,3,2274.3796,2,2,3,223,Hold and improve
11016,322.0,3,2088.6782,2,2,3,223,Hold and improve
11017,76.0,3,2835.4082,4,2,3,423,Loyal
11018,66.0,6,2919.3338,5,3,3,533,Loyal
11019,19.0,29,961.9158,5,5,2,552,Star
11020,364.0,2,2093.0582,2,2,3,223,Hold and improve
11021,339.0,3,2148.0481999999997,2,2,3,223,Hold and improve
11022,342.0,2,2073.7096,2,2,3,223,Hold and improve
11023,314.0,4,142.93,2,3,1,231,Hold and improve
11024,155.0,6,78.02000000000001,4,3,1,431,Loyal
11025,65.0,5,2975.2196000000004,5,3,3,533,Loyal
11026,75.0,6,2988.8058,4,3,3,433,Loyal
11027,66.0,7,2944.9108,5,4,3,543,Star
11028,83.0,4,2853.3496,4,3,3,433,Loyal
11029,48.0,5,2911.3838,5,3,3,533,Loyal
11030,50.0,2,2088.708,5,2,3,523,Loyal
11031,46.0,5,2839.0296000000003,5,3,3,533,Loyal
11032,51.0,9,2954.538,5,4,3,543,Star
11033,54.0,6,2892.6622,5,3,3,533,Loyal
11034,49.0,3,2845.4381999999996,5,2,3,523,Loyal
11035,44.0,4,2832.7396,5,3,3,533,Loyal
11036,340.0,2,2105.0638000000004,2,2,3,223,Hold and improve
11037,342.0,7,2182.2781999999997,2,4,3,243,Hold and improve
11038,47.0,2,2813.7696,5,2,3,523,Loyal
11039,48.0,8,3040.8864000000003,5,4,3,543,Star
11040,269.0,3,2133.3596000000002,2,2,3,223,Hold and improve
11041,348.0,3,2134.5782,2,2,3,223,Hold and improve
11042,73.0,3,2861.8369000000002,5,2,3,523,Loyal
11043,132.0,3,60.2684,4,2,1,421,Loyal
11044,51.0,6,2908.3982,5,3,3,533,Loyal
11045,61.0,3,131.6915,5,2,1,521,Loyal
11046,47.0,5,3015.8558000000003,5,3,3,533,Loyal
11047,40.0,3,2933.7696,5,2,3,523,Loyal
11048,4.0,6,859.4884000000001,5,3,2,532,Loyal
11049,61.0,5,96.52000000000001,5,3,1,531,Loyal
11050,40.0,5,1652.9442,5,3,3,533,Loyal
11051,0.0,0,0.0,5,1,1,511,Loyal
11052,215.0,6,4519.0724,3,3,4,334,Potential loyal
11053,345.0,2,2082.7424,2,2,3,223,Hold and improve
11054,212.0,5,4577.138199999999,3,3,4,334,Potential loyal
11055,204.0,7,4557.0838,3,4,4,344,Potential loyal
11056,211.0,7,4596.6319,3,4,4,344,Potential loyal
11057,221.0,3,4464.479600000001,3,2,4,324,Potential loyal
11058,207.0,5,4598.113800000001,3,3,4,334,Potential loyal
11059,287.0,7,179.1784,2,4,1,241,Hold and improve
11060,186.0,4,4508.4596,3,3,4,334,Potential loyal
11061,197.0,5,4520.4396,3,3,4,334,Potential loyal
11062,355.0,3,2126.7024,2,2,3,223,Hold and improve
11063,350.0,5,2155.3266,2,3,3,233,Hold and improve
11064,337.0,2,2069.0782,2,2,3,223,Hold and improve
11065,321.0,3,198.57999999999998,2,2,1,221,Hold and improve
11066,101.0,5,87.1942,4,3,1,431,Loyal
11067,132.0,1,7.98,4,1,1,411,Loyal
11068,82.0,9,204.83620000000002,4,4,1,441,Loyal
11069,207.0,2,4455.489600000001,3,2,4,324,Potential loyal
11070,185.0,8,4537.1882000000005,3,4,4,344,Potential loyal
11071,28.0,7,168.76,5,4,1,541,Loyal
11072,196.0,6,4581.399600000001,3,3,4,334,Potential loyal
11073,129.0,10,231.4568,4,4,1,441,Loyal
11074,215.0,7,139.1042,3,4,1,341,Potential loyal
11075,187.0,4,4470.1182,3,3,4,334,Potential loyal
11076,190.0,3,4510.479600000001,3,2,4,324,Potential loyal
11077,199.0,4,4545.4696,3,3,4,334,Potential loyal
11078,4.0,30,991.2692,5,5,2,552,Star
11079,120.0,4,84.2084,4,3,1,431,Loyal
11080,188.0,6,4582.181100000001,3,3,4,334,Potential loyal
11081,259.0,5,116.5484,2,3,1,231,Hold and improve
11082,53.0,6,2896.5144,5,3,3,533,Loyal
11083,51.0,5,2887.4038,5,3,3,533,Loyal
11084,38.0,5,2846.3096,5,3,3,533,Loyal
11085,23.0,3,78.6242,5,2,1,521,Loyal
11086,8.0,6,185.7577,5,3,1,531,Loyal
11087,141.0,4,206.56,4,3,1,431,Loyal
11089,41.0,7,2968.7439,5,4,3,543,Star
11090,38.0,6,6497.737,5,3,5,535,Loyal
11091,8.0,54,1485.1758,5,5,2,552,Star
11092,190.0,4,4517.4296,3,3,4,334,Potential loyal
11093,203.0,6,4572.7324,3,3,4,334,Potential loyal
11094,129.0,4,198.82,4,3,1,431,Loyal
11095,186.0,6,4550.7624,3,3,4,334,Potential loyal
11096,151.0,3,4441.812400000001,4,2,4,424,Loyal
11097,157.0,4,4488.138199999999,4,3,4,434,Loyal
11098,74.0,4,148.92000000000002,5,3,1,531,Loyal
11099,180.0,8,4595.0682,3,4,4,344,Potential loyal
11100,143.0,5,2514.1162,4,3,3,433,Loyal
11101,182.0,6,4674.0939,3,3,4,334,Potential loyal
11102,20.0,5,150.82999999999998,5,3,1,531,Loyal
11103,205.0,6,2550.1062,3,3,3,333,Potential loyal
11104,196.0,5,4537.1282,3,3,4,334,Potential loyal
11105,206.0,4,4458.0581999999995,3,3,4,334,Potential loyal
11106,196.0,2,4433.1682,3,2,4,324,Potential loyal
11107,190.0,5,4588.718000000001,3,3,4,334,Potential loyal
11108,188.0,3,2117.7424,3,2,3,323,Potential loyal
