,OrderDate,OrderNumber,OrderLineItem,ProductSold,SoldTo,SoldIn,OrderQuantity,SoldBy,Shipping_Type,Order_Status
0,4/5/2017,SO67694,1,605,12754,7,1,284,Self Pickup,ok
1,4/5/2017,SO67666,1,478,23327,7,2,284,Self Pickup,ok
2,4/5/2017,SO67695,3,477,29357,7,2,284,Self Pickup,ok
3,4/5/2017,SO67663,1,536,24222,6,2,284,Self Pickup,ok
4,4/5/2017,SO67677,3,220,24845,6,1,284,Self Pickup,ok
5,4/5/2017,SO67665,2,478,12964,6,1,284,Self Pickup,ok
6,4/5/2017,SO67657,1,529,27395,6,2,283,Self Pickup,ok
7,4/5/2017,SO67655,2,538,11784,6,2,283,Self Pickup,ok
8,4/5/2017,SO67672,1,539,17106,6,1,282,Self Pickup,ok
9,4/6/2017,SO67712,4,229,13474,4,1,293,Delivery Truck,missing
10,4/6/2017,SO67748,3,479,21897,4,2,293,Delivery Truck,missing
11,4/6/2017,SO67753,2,220,25986,4,1,293,Delivery Truck,ok
12,4/6/2017,SO67717,1,478,21247,4,2,292,Delivery Truck,refunded
13,4/6/2017,SO67746,4,464,26566,4,2,292,Delivery Truck,ok
14,4/6/2017,SO67718,1,475,20020,1,1,292,Delivery Truck,ok
15,4/6/2017,SO67755,4,480,23454,1,2,292,Delivery Truck,ok
16,4/6/2017,SO67721,2,223,24625,4,2,292,Delivery Truck,ok
17,4/6/2017,SO67751,1,574,27294,4,1,287,Delivery Truck,ok
18,4/6/2017,SO67698,2,539,17350,9,1,287,Delivery Truck,refunded
19,4/6/2017,SO67752,2,215,25977,9,1,287,Delivery Truck,ok
20,4/6/2017,SO67730,1,485,18541,9,2,286,Delivery Truck,ok
21,4/6/2017,SO67761,1,604,13770,9,1,285,Delivery Truck,missing
22,4/6/2017,SO67752,1,578,25977,9,1,285,Delivery Truck,ok
23,4/6/2017,SO67725,3,480,19907,4,2,282,Delivery Truck,ok
24,4/6/2017,SO67726,1,535,17636,4,2,281,Delivery Truck,ok
25,4/6/2017,SO67712,2,540,13474,4,1,293,Express Air,ok
26,4/6/2017,SO67726,2,528,17636,6,2,293,Express Air,ok
27,4/6/2017,SO67725,2,535,19907,6,2,292,Express Air,ok
28,4/6/2017,SO67737,3,537,16854,4,1,292,Express Air,ok
29,4/6/2017,SO67697,1,528,15263,8,2,295,Regular Air,ok
30,4/6/2017,SO67729,1,485,15571,8,1,292,Regular Air,unknown
